project_id,p0,p1,p2
24,5f4f9deca0830d07329e0efa,5da03c3607c83700140a3d8f,5edc753bcee6c1953c31dacd
25,5d7ea5c53338120001abae9e,607d7c8297d36c7835032ce9,5edc753bcee6c1953c31dacd
26,607d7c8297d36c7835032ce9,5edc753bcee6c1953c31dacd,5d0ba121619661001a7f4fe6
27,5d5fc0ad29b1d80001430de0,607d7c8297d36c7835032ce9,5d0ba121619661001a7f4fe6
28,5f4f9deca0830d07329e0efa,607d7c8297d36c7835032ce9,5edc753bcee6c1953c31dacd
29,5f4f9deca0830d07329e0efa,5d1b4223bafe26001ec6ae62,607d7c8297d36c7835032ce9
30,607d7c8297d36c7835032ce9,5da03c3607c83700140a3d8f,5d0ba121619661001a7f4fe6
31,607d7c8297d36c7835032ce9,5edc753bcee6c1953c31dacd,5d0ba121619661001a7f4fe6
32,5f4f9deca0830d07329e0efa,607d7c8297d36c7835032ce9,5edc753bcee6c1953c31dacd
33,5f4f9deca0830d07329e0efa,5d5fc0ad29b1d80001430de0,5edc753bcee6c1953c31dacd
34,5f4f9deca0830d07329e0efa,5d1b4223bafe26001ec6ae62,607d7c8297d36c7835032ce9
35,5d5fc0ad29b1d80001430de0,607d7c8297d36c7835032ce9,5edc753bcee6c1953c31dacd
36,5f4f9deca0830d07329e0efa,5d5fc0ad29b1d80001430de0,5da03c3607c83700140a3d8f
37,5d1b4223bafe26001ec6ae62,5da03c3607c83700140a3d8f,5edc753bcee6c1953c31dacd
38,5f4f9deca0830d07329e0efa,607d7c8297d36c7835032ce9,5edc753bcee6c1953c31dacd
39,5df132598640200472b7a950,5d1b4223bafe26001ec6ae62,5da03c3607c83700140a3d8f
40,5f4f9deca0830d07329e0efa,607d7c8297d36c7835032ce9,5edc753bcee6c1953c31dacd
41,5f4f9deca0830d07329e0efa,607d7c8297d36c7835032ce9,5edc753bcee6c1953c31dacd
42,5f4f9deca0830d07329e0efa,5d1b4223bafe26001ec6ae62,607d7c8297d36c7835032ce9
43,5f4f9deca0830d07329e0efa,607d7c8297d36c7835032ce9,5edc753bcee6c1953c31dacd
44,5f4f9deca0830d07329e0efa,5d1b4223bafe26001ec6ae62,5edc753bcee6c1953c31dacd
45,5f4f9deca0830d07329e0efa,607d7c8297d36c7835032ce9,5edc753bcee6c1953c31dacd
46,5f4f9deca0830d07329e0efa,5d1b4223bafe26001ec6ae62,5da03c3607c83700140a3d8f
47,5d1b4223bafe26001ec6ae62,5da03c3607c83700140a3d8f,5edc753bcee6c1953c31dacd
48,5d1b4223bafe26001ec6ae62,5d5fc0ad29b1d80001430de0,5da03c3607c83700140a3d8f
49,5f4f9deca0830d07329e0efa,607d7c8297d36c7835032ce9,5da03c3607c83700140a3d8f
51,5d1b4223bafe26001ec6ae62,661518389e545666580a32a8,5da03c3607c83700140a3d8f
